"","LatitudeMeasure","LongitudeMeasure","conc"
"1",28.1133482,-82.7703796,0.707106781187
"7",28.1097373,-82.7592681,0.707106781187
"15",28.1083484,-82.7614904,0.707106781187
"16",28.105293,-82.7609348,0.707106781187
"36",28.5169402,-82.5734324,0.707106781187
"41",47.48844,-115.8907,3
"61",46.00223,-112.5835,8
"62",46.00223,-112.5835,7
"64",46.00223,-112.5835,3.53553390593
"65",46.00223,-112.5835,9
"66",46.00223,-112.5835,11
"69",46.00223,-112.5835,12
"73",46.00223,-112.5835,10
"77",47.49001,-115.8896,3
"91",37.1269,-121.0386,0.707106781187
"94",33.7132331,-112.0704844,35.3553390593
"98",33.4277972,-112.0937417,0.707106781187
"99",32.2263031,-110.8369158,70.7106781187
"100",44.660034,-93.082858,2.82842712475
"101",44.660034,-93.082858,0.0141421356237
"104",44.660034,-93.082858,0.707106781187
"107",47.5458365,-116.2024061,5
"109",47.547494,-116.203951,10
"114",47.547494,-116.203951,1
"115",47.547494,-116.203951,5
"117",47.547494,-116.203951,3.5
"122",47.547494,-116.203951,15
"127",47.547494,-116.203951,3
"136",47.547494,-116.203951,0.57
"138",47.547494,-116.203951,4.5
"148",47.547494,-116.203951,2
"149",47.5446533,-116.2065942,3
"150",38.615814694,-109.6212259,3.53553390593
"165",38.615814694,-109.6212259,38.8908729653
"180",45.878607,-106.624183,3.53553390593
"181",45.878607,-106.624183,70709971.0119
"182",47.9369521,-118.0896568,10
"183",47.9369521,-118.0896568,5
"185",47.543699,-116.174372,1
"187",47.543699,-116.174372,0.66
"190",47.543699,-116.174372,5
"191",47.543699,-116.174372,0.41
"192",47.543699,-116.174372,0.24
"195",47.543699,-116.174372,1.6
"196",38.9643,-122.6789,0.707106781187
"200",46.7004,-112.0437,2.12132034356
"202",34.2141711,-113.0601222,3.53553390593
"203",34.6487667,-113.3820306,3.53553390593
"204",47.5341261895,-115.873324491,0.051
"205",47.5341261895,-115.873324491,0.02
"206",47.5341261895,-115.873324491,0.11
"208",47.5341261895,-115.873324491,0.1
"210",32.1674444,-110.8934444,2.12132034356
"211",32.1674444,-110.8934444,7.07106781187
"215",47.481741007,-115.90461616,0.24
"216",47.481741007,-115.90461616,0.2
"218",47.481741007,-115.90461616,0.02
"219",47.481741007,-115.90461616,0.25
"221",46.340112,-94.24612,0.565685424949
"222",46.340112,-94.24612,0.0141421356237
"224",46.340112,-94.24612,0.707106781187
"227",32.1675556,-110.89075,7.07106781187
"228",32.1675556,-110.89075,2.12132034356
"232",32.1675556,-110.89075,0.707106781187
"233",41.69853154,-112.921927088,3.53553390593
"234",41.69853154,-112.921927088,10.6066017178
"236",47.5442063,-116.1671953,10
"240",47.5442063,-116.1671953,0.15
"241",47.5442063,-116.1671953,5.8
"243",47.5442063,-116.1671953,15
"244",47.5442063,-116.1671953,1
"247",47.5442063,-116.1671953,5
"249",47.5442063,-116.1671953,3.5
"267",47.5442063,-116.1671953,3
"294",47.5442063,-116.1671953,1.5
"296",47.5442063,-116.1671953,0.5
"297",47.5442063,-116.1671953,0.1
"298",47.5442063,-116.1671953,4.5
"328",47.505837,-115.875584,0.084
"329",47.505837,-115.875584,0.061
"330",47.505837,-115.875584,0.068
"331",47.505837,-115.875584,0.065
"332",47.505837,-115.875584,0.02
"333",47.505837,-115.875584,0.1
"334",34.6731417,-113.3553306,3.53553390593
"335",47.52429,-116.0549,6.4
"336",47.52429,-116.0549,17.6776695297
"341",47.52429,-116.0549,0.86
"343",47.52429,-116.0549,1.4
"344",47.52429,-116.0549,25
"345",47.52429,-116.0549,5.4
"347",47.52429,-116.0549,1
"349",47.52429,-116.0549,1.8
"362",47.52429,-116.0549,0.88
"363",47.52429,-116.0549,2.2
"364",47.52429,-116.0549,9
"365",47.52429,-116.0549,10
"366",47.52429,-116.0549,1.1
"368",47.52429,-116.0549,3
"369",47.52429,-116.0549,7
"371",47.52429,-116.0549,0.0176776695297
"375",47.52429,-116.0549,1.2
"379",47.52429,-116.0549,0.72
"380",47.52429,-116.0549,0.57
"381",47.52429,-116.0549,5
"384",36.8939444,-120.74769444,3.53553390593
"389",36.8939444,-120.74769444,7.07106781187
"404",39.0116,-122.6961,0.707106781187
"409",44.835028,-93.48199,0.565685424949
"410",44.835028,-93.48199,0.0141421356237
"414",44.835028,-93.48199,0.707106781187
"418",47.541134,-116.163441,1
"420",47.541134,-116.163441,0.62
"423",47.541134,-116.163441,0.33
"424",47.541134,-116.163441,0.36
"425",47.541134,-116.163441,4
"426",47.541134,-116.163441,0.21
"429",47.541134,-116.163441,7
"430",47.546915988,-116.16679087,1.1
"431",47.546915988,-116.16679087,1
"432",47.546915988,-116.16679087,1.7
"433",47.546915988,-116.16679087,1.2
"436",47.546915988,-116.16679087,2.3
"438",47.546915988,-116.16679087,0.34
"440",47.546915988,-116.16679087,8.7
"443",47.546915988,-116.16679087,28.3
"444",47.539404,-116.162612,1
"445",47.539404,-116.162612,0.5
"446",47.539404,-116.162612,0.78
"449",47.539404,-116.162612,4.6
"450",47.539404,-116.162612,0.47
"451",47.539404,-116.162612,0.54
"452",47.539404,-116.162612,0.707106781187
